Date,Close,Volume,20ma,50ma,200ma,cross,triple cross,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,high_volumn,Consecutive_Up_Days,Consecutive_Down_Days,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction
2023-02-15,309.1000061035156,43100600,297.7884994506836,283.75219970703125,290.64314987182615,No Cross,No Cross,317.61338815486397,277.96361074650326,1.141142008070574,0,0,62.243628345859314,65.07658107055903,0,0,0,0,4.725501809316169,13.718854046995089,0,3,0,1,1,-1
2023-02-16,303.29998779296875,59498600,299.1959991455078,284.0653991699219,290.5672497558594,No Cross,No Cross,316.0240957626069,282.3679025284087,0.4877543480812752,0,0,55.2349588485024,63.587755128673585,0,0,0,1,4.428027261469094,12.681741007205828,1,0,1,1,1,-1
2023-02-17,301.1600036621094,58230700,300.11999969482423,284.45499938964844,290.4789497375488,No Cross,No Cross,315.0523472986285,285.18765209101997,0.13929544032583147,0,0,58.58969248456068,63.99139663784652,0,0,0,0,3.9323697087276344,12.376134669663362,1,0,2,1,1,-1
2023-02-21,294.0299987792969,46526700,300.37350006103514,284.7249993896484,290.30109970092775,No Cross,No Cross,314.66658526509934,286.08041485697095,-0.8876321929340353,0,0,49.55418148846609,56.13182272175856,0,0,0,0,3.8393746301475637,10.881942198560369,0,0,3,1,1,1
2023-02-22,294.25,51389200,300.6675003051758,284.9329992675781,290.20734970092775,No Cross,No Cross,314.13928564600826,287.1957149643433,-0.9527319717193802,0,0,44.449980167889855,53.05816121844463,0,0,0,0,3.108453578203596,10.18660497805789,0,1,0,1,1,1
2023-02-23,296.82000732421875,69294400,301.1220001220703,285.22859924316407,290.1451997375488,No Cross,No Cross,313.30797931277243,288.93602093136815,-0.7060561536382632,0,0,35.63441058899615,54.77563534284056,0,0,0,0,3.934570224323396,10.441754945105608,1,2,0,1,1,1
2023-02-24,291.8500061035156,74332000,301.04750061035156,285.35399963378904,290.118699798584,No Cross,No Cross,313.45009124474194,288.6449099759612,-1.4831569916260545,0,0,36.03043070297519,52.219823787387305,0,0,0,0,2.553194581646223,8.578183588908828,1,0,1,1,1,1
2023-02-27,293.94000244140625,48995000,300.93150024414064,285.4597998046875,290.08459976196286,No Cross,No Cross,313.56389426273023,288.29910622555104,-1.1069157267333245,0,0,40.50010605142022,50.33602469843916,0,0,0,0,4.076753351224527,9.119593224931133,0,1,0,1,1,1
2023-02-28,293.5599975585937,48243100,301.0960006713867,285.6007995605469,290.0931997680664,No Cross,No Cross,313.21924993931555,288.9727514034579,-1.2432315703891301,0,0,31.818175636530754,48.443618508685546,0,0,0,0,3.8767931225408114,9.282093713820728,0,0,1,1,1,1
2023-03-01,291.20001220703125,58287000,300.9250015258789,285.8869995117187,290.0934498596191,No Cross,No Cross,313.520152610006,288.3298504417518,-1.544243376501207,0,0,34.2199987128933,50.559513305125414,0,0,0,0,2.574695569024299,7.01645948784142,1,0,2,1,1,1
