Date,Open,High,Low,Close,Adj Close,Volume,Close_SPY,Close_DIA,Close_IWM,QQQ 1d movement,SPY 1d movement,DIA 1d movement,IWM 1d movement,9ma,20ma,50ma,100ma,200ma,cross,triple cross,Middle_BB,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD,Signal_Line,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction,Future1M_movement,Future2M_movement,Future15d_movement
2023-05-30,352.7099914550781,353.92999267578125,348.5299987792969,349.9800109863281,348.1166076660156,72652200,420.1799926757813,330.5199890136719,175.5,0.004535066353397177,0.0003809429700838418,-0.000967257066137539,-0.00369000237869066,338.40555487738715,329.85150451660155,321.10380126953123,307.09649963378905,295.8755001831055,No Cross,No Cross,329.85150451660155,348.8121346784566,310.89087435474653,2.1231896089847355,1,0,82.07331536909464,72.79682462841268,1,0,7.135038744020392,5.453224244840184,0,0,11.601315277871526,12.532022455198366,1,1,1,8.334756841668822,3.2116092009649266,3.4059039190732276
2023-05-31,348.3699951171875,350.6000061035156,346.510009765625,347.989990234375,346.1371765136719,65105400,417.8500061035156,329.5199890136719,173.77000427246094,-0.005686098318429034,-0.005545210654671839,-0.003025535620354347,-0.009857525513043086,340.2799987792969,331.28200378417966,321.9442010498047,307.96059967041015,295.9635000610352,No Cross,No Cross,331.28200378417966,351.20858958570955,311.3554179826498,1.6769542576543706,0,0,76.7751957500007,70.88729251410251,1,0,7.503172298651634,5.863213855602474,0,0,11.523044926423188,12.160981533086957,1,1,1,8.9312962907097,4.606453986938108,5.224294865813506
2023-06-01,347.7300109863281,353.3599853515625,346.6600036621094,352.010009765625,350.13580322265625,50488600,421.8200073242188,330.94000244140625,175.64999389648438,0.011552112543646631,0.00950101989401353,0.004309339266442613,0.010818838567073552,341.91777886284723,333.0180038452148,322.77760131835936,308.7926998901367,296.0582501220703,No Cross,No Cross,333.0180038452148,353.84145863747625,312.1945490529534,1.8240975006191684,0,0,78.28178859635395,75.90915391184073,1,0,8.02677510550052,6.295926105582084,0,0,11.907004966944523,12.82307380289851,1,1,1,8.692927683025697,4.19022175244983,2.99139186022237
2023-06-02,353.79998779296875,355.8299865722656,352.010009765625,354.6499938964844,352.76171875,53293500,427.9200134277344,338.07000732421875,182.0200042724609,0.007499741648304692,0.014461158782416383,0.02154470547595677,0.03626536064516217,343.9333326551649,334.94200286865237,323.7482012939453,309.63379974365233,296.17010009765625,No Cross,No Cross,334.94200286865237,356.3145383568978,313.56946738040693,1.8442351904079066,0,0,81.44370709886262,79.40803988038958,1,0,8.55612902893506,6.74796669025268,0,0,9.486866092540193,12.096147232969413,1,1,1,8.766388516269142,5.673197649359096,0.8543631274335439
2023-06-05,354.42999267578125,357.5,353.8500061035156,354.8999938964844,353.0103759765625,47266200,427.1000061035156,336.1300048828125,179.5800018310547,0.0007049203561326767,-0.0019162630830240612,-0.005738463629947899,-0.013405133414643,345.85110812717016,336.54250183105466,324.651201171875,310.45449981689455,296.3021501159668,No Cross,No Cross,336.54250183105466,358.8870247436817,314.1979789184276,1.6431312619394312,0,0,80.82909496925484,80.9097888077252,1,0,8.893302284857441,7.177033809173633,0,0,10.956100314007887,12.679348832064807,1,1,1,8.664412659575603,6.187656194066693,2.5161997265026548
2023-06-06,354.2799987792969,355.82000732421875,352.92999267578125,354.8399963378906,352.9507141113281,41390400,428.0299987792969,336.1700134277344,184.30999755859372,-0.00016905483129214804,0.0021774588210983215,0.00011902699652122095,0.026339211935129114,348.2377760145399,338.1000015258789,325.53020080566404,311.22739990234373,296.4299501037598,No Cross,No Cross,338.1000015258789,361.0078928510861,315.19211020067166,1.461504646967789,0,0,80.56534316077793,78.53185376640408,1,0,9.05133506149167,7.551894059637241,0,0,8.437175654991758,13.070523791689237,1,1,1,6.177435929985009,6.524065532466117,2.7336298915397794
2023-06-07,355.1300048828125,357.1199951171875,348.17999267578125,348.82000732421875,346.9627685546875,69225900,426.5499877929688,337.1700134277344,187.2400054931641,-0.01696536206684951,-0.003457727240027353,0.0029746853081973335,0.01589717309631511,350.1455552842882,339.459001159668,326.33140075683593,311.92510009765624,296.55975021362303,No Cross,No Cross,339.459001159668,361.46241864453697,317.455583674799,0.8508683863302613,0,0,68.6945523510899,70.52768817338327,1,0,8.591773753644418,7.759869998438676,0,0,4.332521680413315,11.977495192038457,1,1,1,7.685911643730514,8.24780356905701,4.297342445854091
2023-06-08,349.1199951171875,353.6199951171875,348.8900146484375,353.1499938964844,351.26971435546875,47153900,429.1300048828125,338.8099975585937,186.5399932861328,0.01241324029972013,0.006048569132994341,0.00486396792581556,-0.0037385824956986946,351.6377766927083,340.8595001220703,327.2520007324219,312.64690002441404,296.75370025634766,No Cross,No Cross,340.8595001220703,362.58940321653705,319.12959702760355,1.1312055761117217,0,0,67.44288012872084,74.81490703173029,1,0,8.47921868057,7.903739734864941,0,0,4.396798809775927,11.476264601555798,1,1,1,6.535471467857068,7.056495500050608,4.607113071625624
2023-06-09,354.6300048828125,357.6600036621094,353.0299987792969,354.5,352.6125183105469,53155900,429.8999938964844,339.2699890136719,185.02999877929688,0.003822755562361335,0.0017943024372815142,0.00135766789171754,-0.008094749443459892,352.31555514865454,342.2744995117188,328.0876007080078,313.37649993896486,296.95570022583007,No Cross,No Cross,342.2744995117188,363.6681259894952,320.88087303394235,1.1429105300105151,0,0,69.5076687664716,73.93215886646202,1,0,8.402098028378248,8.003411393567603,0,0,4.12520258197242,10.343839310609937,1,1,1,6.849082871451873,5.709447174717908,4.454163200260042
2023-06-12,356.19000244140625,360.5899963378906,355.20001220703125,360.489990234375,358.57061767578125,44606500,433.7999877929688,341.1700134277344,185.8000030517578,0.016897010534203005,0.00907186311201369,0.005600331522355617,0.004161510444473437,353.48333062065973,344.04749908447263,328.9838006591797,314.20259979248044,297.1831001281738,No Cross,No Cross,344.04749908447263,365.3007351374772,322.79426303146806,1.5472929495438317,0,0,72.41510825740366,75.87141083546393,1,0,8.723759438908814,8.147481002635846,0,0,5.70881849808309,11.717993995363084,1,1,1,4.724125285205472,3.209522493730388,2.715750453585919
